Дата транзакции;Операция;Сумма;Валюта;Дата операции по счету;Комиссия/Money-back;Обороты по счету;Цифровая карта;Категория операции;
26.02.2022 23:26:37;Retail BLR MINSK MOBILE BANK  ;-5,00;BYN;26.02.2022;0,00;-5,00;;Денежные переводы;
26.02.2022 00:00:00;Retail BLR MINSK SHOP "KORONA"  ;-13,65;BYN;27.02.2022;0,00;-13,65;;Магазины продуктовые;
25.02.2022 16:20:54;Retail BLR Minsk PAVLOVICh IP IP  ;-18,50;BYN;25.02.2022;0,00;-18,50;;Различные магазины;
25.02.2022 00:00:00;Retail BLR MINSK KIOSK N700142 BAPB  ;-3,00;BYN;26.02.2022;0,00;-3,00;;Магазины продуктовые;
25.02.2022 00:00:00;Retail BLR MINSK SHOP "VITALUR"  ;-16,99;BYN;26.02.2022;0,00;-16,99;;Магазины продуктовые;
25.02.2022 00:00:00;Retail BLR MINSK APTEKA N 78 "BELFARMATSIY  ;-9,48;BYN;26.02.2022;0,00;-9,48;;Аптеки;
25.02.2022 00:00:00;Retail BLR MINSK SHOP "KORONA"  ;-9,70;BYN;26.02.2022;0,00;-9,70;;Магазины продуктовые;
24.02.2022 00:00:00;Retail BLR MINSK SUPERMARKET "ALMI"  ;-16,98;BYN;25.02.2022;0,00;-16,98;;Магазины продуктовые;
24.02.2022 00:00:00;Retail BLR MINSK SHOP "EUROOPT PRIME"  ;-39,36;BYN;25.02.2022;0,00;-39,36;;Магазины продуктовые;
24.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-5,90;BYN;26.02.2022;0,00;-5,90;;Транспорт - Такси;
24.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI  ;-5,70;BYN;26.02.2022;0,00;-5,70;;Транспорт - Такси;
23.02.2022 00:00:00;Retail BLR MINSK I.-SHOP"WWW.PASS.RW.BY"  ;-48,12;BYN;24.02.2022;0,00;-48,12;;Транспорт - ЖД билеты;
23.02.2022 00:00:00;Retail BLR MINSK I.-SHOP"WWW.PASS.RW.BY"  ;-45,66;BYN;24.02.2022;0,00;-45,66;;Транспорт - ЖД билеты;
22.02.2022 00:00:00;Retail BLR MINSK SHOP "SANTA-254" BAPB  ;-26,08;BYN;23.02.2022;0,00;-26,08;;Магазины продуктовые;
21.02.2022 10:22:04;Retail BLR MINSK MOBILE BANK  ;-65,73;BYN;21.02.2022;0,00;-65,73;;Денежные переводы;
21.02.2022 10:19:30;Retail BLR MINSK MOBILE BANK  ;-13,46;BYN;21.02.2022;0,00;-13,46;;Денежные переводы;
21.02.2022 10:10:44;Retail BLR MINSK MOBILE BANK  ;-1 738,56;BYN;21.02.2022;0,00;-1 738,56;;Денежные переводы;
21.02.2022 10:09:19;CH Debit BLR MINSK P2P_SDBO  ;-200,00;BYN;21.02.2022;0,00;-200,00;;Переводы с карты на карту;
21.02.2022 00:00:00;Retail BLR MINSK OOO "RADI BUDUSCHEGO"  ;-31,70;BYN;22.02.2022;0,00;-31,70;;Медицинский сервис;
20.02.2022 00:00:00;Retail NLD Amsterdam Yandex.Taxi  ;-5,00;BYN;22.02.2022;0,00;-5,00;;Транспорт - Такси;
19.02.2022 13:42:16;Retail BLR MINSK MOBILE BANK  ;-10,00;BYN;19.02.2022;0,00;-10,00;;Денежные переводы;
19.02.2022 10:21:32;ATM BLR VITEBSK ATM 259 VITEBSKIE PROD  ;-110,00;BYN;19.02.2022;0,00;-110,00;;Снятие наличных;
18.02.2022 17:36:39;Retail BLR MINSK MOBILE BANK  ;-10,00;BYN;18.02.2022;0,00;-10,00;;Денежные переводы;
18.02.2022 00:00:00;Retail BLR MINSK PAV.N 11 TPK "NOVY VEK"  ;-8,06;BYN;19.02.2022;0,00;-8,06;;Ресторация / бары / кафе;
18.02.2022 00:00:00;Retail NLD Amsterdam Yandex.Taxi  ;-6,40;BYN;20.02.2022;0,00;-6,40;;Транспорт - Такси;
18.02.2022 00:00:00;Retail BLR MINSK RBO "BURGER KING"  ;-11,60;BYN;21.02.2022;0,00;-11,60;;Ресторация / бары / кафе;
17.02.2022 00:00:00;Retail BLR Minsk NUDLS Terassa  ;-42,00;BYN;18.02.2022;0,00;-42,00;;Ресторация / бары / кафе;
17.02.2022 00:00:00;Retail BLR MINSK KIOSK N700142 BAPB  ;-3,00;BYN;18.02.2022;0,00;-3,00;;Магазины продуктовые;
