Transaction date;Operation;Amount;Category
28.02.2022 09:21:21;Cash BLR MINSK PRIORBANK CBU 119 PRK 2;-500.0;Операции с наличными
28.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.7;Транспорт - Такси
28.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.6;Транспорт - Такси
28.02.2022 00:00:00;"Retail BLR MINSK SHOP ""VITALUR""";-17.52;Магазины продуктовые
27.02.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-60.6;Магазины продуктовые
26.03.2022 17:16:57;Retail BLR MINSK MOBILE BANK;-5.0;Денежные переводы
21.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-0.8;Транспортировка
20.03.2022 11:34:33;Retail BLR MINSK MOBILE BANK;-55.41;Денежные переводы
20.03.2022 11:32:44;Retail BLR MINSK MOBILE BANK;-12.3;Денежные переводы
20.03.2022 11:28:55;CH Payment BLR MINSK P2P_SDBO;70.0;Поставщик  услуг
20.03.2022 09:03:42;Retail BLR MINSK MOBILE BANK;-5.0;Денежные переводы
20.03.2022 09:03:28;Retail BLR MINSK MOBILE BANK;-5.0;Денежные переводы
19.03.2022 00:00:00;"Retail BLR MINSK CAFE ""BEREZKA""";-35.0;Ресторация / бары / кафе
18.03.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-16.04;Транспорт - ЖД билеты
18.03.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-16.04;Транспорт - ЖД билеты
18.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-2.4;Транспортировка
13.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.6;Транспорт - Такси
13.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-1.6;Транспортировка
12.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-0.4;Транспорт - Такси
12.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.3;Транспорт - Такси
09.03.2022 15:44:18;Cash BLR MINSK PRIORBANK CBU 119 PRK 2;-1500.0;Операции с наличными
09.03.2022 12:04:01;CH Payment BLR MINSK P2P SDBO NO FEE;1600.0;Поставщик  услуг
09.03.2022 12:02:22;Retail BLR MINSK MOBILE BANK;-5.0;Денежные переводы
09.03.2022 12:00:37;Retail BLR MINSK MOBILE BANK;-5.0;Денежные переводы
09.03.2022 11:56:18;Retail BLR MINSK MOBILE BANK;-1935.2;Денежные переводы
09.03.2022 11:55:13;CH Payment BLR MINSK P2P SDBO NO FEE;1900.0;Поставщик  услуг
09.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.9;Транспорт - Такси
08.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-9.7;Транспорт - Такси
07.03.2022 21:13:15;CH Payment BLR MINSK P2P SDBO NO FEE;50.0;Поставщик  услуг
07.03.2022 10:48:59;CH Payment BLR MINSK P2P SDBO NO FEE;150.0;Поставщик  услуг
07.03.2022 00:00:00;Retail BLR MINSK SHOP N9869;-4.0;Магазины продуктовые
07.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-7.9;Транспорт - Такси
07.03.2022 00:00:00;"Retail BLR MOGILEV INT-SH.""WWW.WILDBERRIES.B";-120.07;Магазины продуктовые
07.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-0.8;Транспортировка
07.03.2022 00:00:00;Retail BLR Minsk Magazin Gloria Jeans;-35.1;Магазины одежды
06.03.2022 00:00:00;"Retail BLR MINSK SHOP ""MARK FORMEL""";-4.49;Магазины одежды
05.03.2022 12:27:16;CH Payment BLR MINSK P2P SDBO NO FEE;100.0;Поставщик  услуг
05.03.2022 00:00:00;"Retail BLR MINSK PIZZERIA ""PIZZA TEMPO""";-61.9;Ресторация / бары / кафе
04.03.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-1.44;Магазины продуктовые
04.03.2022 00:00:00;"Retail BLR MINSK SHOP ""TRI TSENY""";-5.8;Магазины продуктовые
02.03.2022 00:00:00;Retail BLR Minsk Kafe Timohin dvor;-37.6;Ресторация / бары / кафе
02.03.2022 00:00:00;Retail BLR MINSK KIOSK N700142 BAPB;-3.0;Магазины продуктовые
02.03.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-16.56;Магазины продуктовые
01.03.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-15.76;Магазины продуктовые
31.01.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-1.6;Транспортировка
31.01.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-16.04;Транспорт - ЖД билеты
31.01.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-16.04;Транспорт - ЖД билеты
30.01.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-19.7;Магазины продуктовые
30.01.2022 00:00:00;"Retail BLR MINSK SHOP ""VITALUR""";-10.67;Магазины продуктовые
29.01.2022 00:00:00;Retail BLR MINSK KOFEYNYA ZOLOTOY GREBESHO;-10.5;Ресторация / бары / кафе
28.01.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-8.15;Магазины продуктовые
28.01.2022 00:00:00;Retail BLR Minsk Kafe Timohin dvor;-42.5;Ресторация / бары / кафе
28.01.2022 00:00:00;"Retail BLR MINSK SHOP ""TRI TSENY""";-1.5;Магазины продуктовые
28.01.2022 00:00:00;"Retail BLR MINSK HYPERMARKET ""GREEN"" BAPB";-2.64;Магазины продуктовые
27.01.2022 00:00:00;"Retail BLR MINSK OOO ""RADI BUDUSCHEGO""";-22.0;Медицинский сервис
26.02.2022 23:26:37;Retail BLR MINSK MOBILE BANK;-5.0;Денежные переводы
26.02.2022 00:00:00;"Retail BLR MINSK SHOP ""KORONA""";-13.65;Магазины продуктовые
26.01.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-57.15;Магазины продуктовые
26.01.2022 00:00:00;"Retail BLR MINSK RBO ""BURGER KING""";-12.4;Ресторация / бары / кафе
26.01.2022 00:00:00;Retail BLR MINSK ECLAIR DELICIOUS;-7.0;Ресторация / бары / кафе
26.01.2022 00:00:00;Retail BLR MINSK 101 RESTAURANT;-52.0;Ресторация / бары / кафе
26.01.2022 00:00:00;Retail BLR MINSK DOLCHELIUKS BRAND STORE;-7.5;Магазины продуктовые
25.02.2022 16:20:54;Retail BLR Minsk PAVLOVICh IP IP;-18.5;Различные магазины
25.02.2022 00:00:00;"Retail BLR MINSK SHOP ""KORONA""";-9.7;Магазины продуктовые
25.02.2022 00:00:00;"Retail BLR MINSK APTEKA N 78 ""BELFARMATSIY";-9.48;Аптеки
25.02.2022 00:00:00;"Retail BLR MINSK SHOP ""VITALUR""";-16.99;Магазины продуктовые
25.02.2022 00:00:00;Retail BLR MINSK KIOSK N700142 BAPB;-3.0;Магазины продуктовые
24.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.7;Транспорт - Такси
24.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.9;Транспорт - Такси
24.02.2022 00:00:00;"Retail BLR MINSK SHOP ""EUROOPT PRIME""";-39.36;Магазины продуктовые
24.02.2022 00:00:00;"Retail BLR MINSK SUPERMARKET ""ALMI""";-16.98;Магазины продуктовые
23.02.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-45.66;Транспорт - ЖД билеты
23.02.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-48.12;Транспорт - ЖД билеты
22.02.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-26.08;Магазины продуктовые
21.02.2022 10:22:04;Retail BLR MINSK MOBILE BANK;-65.73;Денежные переводы
21.02.2022 10:19:30;Retail BLR MINSK MOBILE BANK;-13.46;Денежные переводы
