Transaction date;Operation;Amount;Currency
28.02.2022 22:43:44;Monthly Fee (пакет услуг);0.0;BYN
28.02.2022 09:21:21;Cash BLR MINSK PRIORBANK CBU 119 PRK 2;-500.0;BYN
28.02.2022 09:19:40;Cash BLR MINSK PRIORBANK CBU 119 PRK 2;-70.0;USD
28.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.7;BYN
28.02.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.6;BYN
28.02.2022 00:00:00;"Retail BLR MINSK SHOP ""VITALUR""";-17.52;BYN
27.02.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-60.6;BYN
26.03.2022 17:16:57;Retail BLR MINSK MOBILE BANK;-5.0;BYN
21.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-0.8;BYN
20.03.2022 11:34:33;Retail BLR MINSK MOBILE BANK;-55.41;BYN
20.03.2022 11:32:44;Retail BLR MINSK MOBILE BANK;-12.3;BYN
20.03.2022 11:28:55;CH Payment BLR MINSK P2P_SDBO;70.0;BYN
20.03.2022 09:03:42;Retail BLR MINSK MOBILE BANK;-5.0;BYN
20.03.2022 09:03:28;Retail BLR MINSK MOBILE BANK;-5.0;BYN
19.03.2022 00:00:00;"Retail BLR MINSK CAFE ""BEREZKA""";-35.0;BYN
18.03.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-16.04;BYN
18.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-2.4;BYN
18.03.2022 00:00:00;"Retail BLR MINSK I.-SHOP""WWW.PASS.RW.BY""";-16.04;BYN
17.03.2022 15:31:23;Cash BLR MINSK PRIORBANK CBU 119 PRK 2;-1250.0;USD
13.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-1.6;BYN
13.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.6;BYN
12.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-0.4;BYN
12.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.3;BYN
09.03.2022 15:44:18;Cash BLR MINSK PRIORBANK CBU 119 PRK 2;-1500.0;BYN
09.03.2022 12:04:01;CH Payment BLR MINSK P2P SDBO NO FEE;1600.0;BYN
09.03.2022 12:04:01;CH Debit BLR MINSK P2P SDBO NO FEE;-1600.0;BYN
09.03.2022 12:02:22;Retail BLR MINSK MOBILE BANK;-5.0;BYN
09.03.2022 12:00:37;Retail BLR MINSK MOBILE BANK;-5.0;BYN
09.03.2022 11:56:18;Retail BLR MINSK MOBILE BANK;-1935.2;BYN
09.03.2022 11:55:13;CH Payment BLR MINSK P2P SDBO NO FEE;1900.0;BYN
09.03.2022 11:55:13;CH Debit BLR MINSK P2P SDBO NO FEE;-1900.0;BYN
09.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-5.9;BYN
08.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-9.7;BYN
07.03.2022 21:13:15;CH Payment BLR MINSK P2P SDBO NO FEE;50.0;BYN
07.03.2022 21:13:15;CH Debit BLR MINSK P2P SDBO NO FEE;-50.0;BYN
07.03.2022 10:48:59;CH Debit BLR MINSK P2P SDBO NO FEE;-150.0;BYN
07.03.2022 10:48:59;CH Payment BLR MINSK P2P SDBO NO FEE;150.0;BYN
07.03.2022 00:00:00;Retail BLR MINSK TRANSPORT PAYBYCARD.BY BP;-0.8;BYN
07.03.2022 00:00:00;Retail NLD Schipol YANDEX.TAXI;-7.9;BYN
07.03.2022 00:00:00;Retail BLR MINSK SHOP N9869;-4.0;BYN
07.03.2022 00:00:00;"Retail BLR MOGILEV INT-SH.""WWW.WILDBERRIES.B";-120.07;BYN
07.03.2022 00:00:00;Retail BLR Minsk Magazin Gloria Jeans;-35.1;BYN
06.03.2022 00:00:00;"Retail BLR MINSK SHOP ""MARK FORMEL""";-4.49;BYN
05.03.2022 12:27:16;CH Payment BLR MINSK P2P SDBO NO FEE;100.0;BYN
05.03.2022 12:27:16;CH Debit BLR MINSK P2P SDBO NO FEE;-100.0;BYN
05.03.2022 00:00:00;"Retail BLR MINSK PIZZERIA ""PIZZA TEMPO""";-61.9;BYN
04.03.2022 00:00:00;"Retail BLR MINSK SHOP ""TRI TSENY""";-5.8;BYN
04.03.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-1.44;BYN
02.03.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-16.56;BYN
02.03.2022 00:00:00;Retail BLR MINSK KIOSK N700142 BAPB;-3.0;BYN
02.03.2022 00:00:00;Retail BLR Minsk Kafe Timohin dvor;-37.6;BYN
01.03.2022 00:00:00;"Retail BLR MINSK SHOP ""SANTA-254"" BAPB";-15.76;BYN
